model,arm,temperature,declared_extras,active_extras,message,repeat,one_question,no_advice,short,all_core,words
gemini-flash-lite-latest,flat,1.0,0,0,0,0,True,True,True,True,23
gemini-flash-lite-latest,flat,1.0,0,0,0,1,True,True,True,True,28
gemini-flash-lite-latest,flat,1.0,0,0,0,2,True,True,True,True,24
gemini-flash-lite-latest,flat,1.0,0,0,0,3,True,True,True,True,24
gemini-flash-lite-latest,flat,1.0,0,0,1,0,True,True,True,True,23
gemini-flash-lite-latest,flat,1.0,0,0,1,1,True,True,True,True,29
gemini-flash-lite-latest,flat,1.0,0,0,1,2,True,True,True,True,20
gemini-flash-lite-latest,flat,1.0,0,0,1,3,True,True,True,True,21
gemini-flash-lite-latest,flat,1.0,0,0,2,0,True,True,True,True,52
gemini-flash-lite-latest,flat,1.0,0,0,2,1,True,True,True,True,41
gemini-flash-lite-latest,flat,1.0,0,0,2,2,True,True,True,True,44
gemini-flash-lite-latest,flat,1.0,0,0,2,3,True,True,True,True,27
gemini-flash-lite-latest,flat,1.0,0,0,3,0,True,True,True,True,24
gemini-flash-lite-latest,flat,1.0,0,0,3,1,True,True,True,True,23
gemini-flash-lite-latest,flat,1.0,0,0,3,2,True,True,True,True,24
gemini-flash-lite-latest,flat,1.0,0,0,3,3,True,True,True,True,24
gemini-flash-lite-latest,flat,1.0,0,0,4,0,True,True,True,True,38
gemini-flash-lite-latest,flat,1.0,0,0,4,1,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,0,0,4,2,True,True,True,True,23
gemini-flash-lite-latest,flat,1.0,0,0,4,3,True,True,True,True,31
gemini-flash-lite-latest,scoped,1.0,0,0,0,0,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,0,0,0,1,True,True,True,True,21
gemini-flash-lite-latest,scoped,1.0,0,0,0,2,True,True,True,True,26
gemini-flash-lite-latest,scoped,1.0,0,0,0,3,True,True,True,True,22
gemini-flash-lite-latest,scoped,1.0,0,0,1,0,True,True,True,True,20
gemini-flash-lite-latest,scoped,1.0,0,0,1,1,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,0,0,1,2,True,True,True,True,21
gemini-flash-lite-latest,scoped,1.0,0,0,1,3,True,True,True,True,31
gemini-flash-lite-latest,scoped,1.0,0,0,2,0,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,0,0,2,1,True,True,True,True,41
gemini-flash-lite-latest,scoped,1.0,0,0,2,2,True,True,True,True,51
gemini-flash-lite-latest,scoped,1.0,0,0,2,3,True,True,True,True,48
gemini-flash-lite-latest,scoped,1.0,0,0,3,0,True,True,True,True,27
gemini-flash-lite-latest,scoped,1.0,0,0,3,1,True,True,True,True,26
gemini-flash-lite-latest,scoped,1.0,0,0,3,2,True,True,True,True,32
gemini-flash-lite-latest,scoped,1.0,0,0,3,3,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,0,0,4,0,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,0,0,4,1,True,True,True,True,28
gemini-flash-lite-latest,scoped,1.0,0,0,4,2,True,True,True,True,31
gemini-flash-lite-latest,scoped,1.0,0,0,4,3,True,True,True,True,39
gemini-flash-lite-latest,flat,1.0,5,5,0,0,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,5,5,0,1,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,5,5,0,2,True,True,True,True,21
gemini-flash-lite-latest,flat,1.0,5,5,0,3,True,True,True,True,25
gemini-flash-lite-latest,flat,1.0,5,5,1,0,True,True,True,True,35
gemini-flash-lite-latest,flat,1.0,5,5,1,1,True,True,True,True,45
gemini-flash-lite-latest,flat,1.0,5,5,1,2,True,True,True,True,37
gemini-flash-lite-latest,flat,1.0,5,5,1,3,True,True,True,True,45
gemini-flash-lite-latest,flat,1.0,5,5,2,0,True,True,True,True,41
gemini-flash-lite-latest,flat,1.0,5,5,2,1,True,True,True,True,51
gemini-flash-lite-latest,flat,1.0,5,5,2,2,True,True,True,True,41
gemini-flash-lite-latest,flat,1.0,5,5,2,3,True,True,True,True,42
gemini-flash-lite-latest,flat,1.0,5,5,3,0,True,True,True,True,46
gemini-flash-lite-latest,flat,1.0,5,5,3,1,True,True,True,True,44
gemini-flash-lite-latest,flat,1.0,5,5,3,2,True,True,True,True,46
gemini-flash-lite-latest,flat,1.0,5,5,3,3,True,True,True,True,36
gemini-flash-lite-latest,flat,1.0,5,5,4,0,True,True,True,True,37
gemini-flash-lite-latest,flat,1.0,5,5,4,1,True,True,True,True,47
gemini-flash-lite-latest,flat,1.0,5,5,4,2,True,True,True,True,35
gemini-flash-lite-latest,flat,1.0,5,5,4,3,True,True,True,True,40
gemini-flash-lite-latest,scoped,1.0,5,1,0,0,True,True,True,True,29
gemini-flash-lite-latest,scoped,1.0,5,1,0,1,True,True,True,True,33
gemini-flash-lite-latest,scoped,1.0,5,1,0,2,True,True,True,True,27
gemini-flash-lite-latest,scoped,1.0,5,1,0,3,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,5,1,1,0,True,True,True,True,40
gemini-flash-lite-latest,scoped,1.0,5,1,1,1,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,5,1,1,2,True,True,True,True,27
gemini-flash-lite-latest,scoped,1.0,5,1,1,3,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,5,1,2,0,True,True,True,True,29
gemini-flash-lite-latest,scoped,1.0,5,1,2,1,True,True,True,True,29
gemini-flash-lite-latest,scoped,1.0,5,1,2,2,True,False,True,False,40
gemini-flash-lite-latest,scoped,1.0,5,1,2,3,True,True,True,True,33
gemini-flash-lite-latest,scoped,1.0,5,1,3,0,True,True,True,True,25
gemini-flash-lite-latest,scoped,1.0,5,1,3,1,True,True,True,True,23
gemini-flash-lite-latest,scoped,1.0,5,1,3,2,True,True,True,True,21
gemini-flash-lite-latest,scoped,1.0,5,1,3,3,True,True,True,True,23
gemini-flash-lite-latest,scoped,1.0,5,1,4,0,True,True,True,True,23
gemini-flash-lite-latest,scoped,1.0,5,1,4,1,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,5,1,4,2,True,True,True,True,22
gemini-flash-lite-latest,scoped,1.0,5,1,4,3,True,True,True,True,25
gemini-flash-lite-latest,flat,1.0,10,10,0,0,True,True,True,True,36
gemini-flash-lite-latest,flat,1.0,10,10,0,1,True,True,True,True,26
gemini-flash-lite-latest,flat,1.0,10,10,0,2,True,True,True,True,35
gemini-flash-lite-latest,flat,1.0,10,10,0,3,True,True,True,True,25
gemini-flash-lite-latest,flat,1.0,10,10,1,0,True,True,True,True,30
gemini-flash-lite-latest,flat,1.0,10,10,1,1,True,True,True,True,42
gemini-flash-lite-latest,flat,1.0,10,10,1,2,True,True,True,True,49
gemini-flash-lite-latest,flat,1.0,10,10,1,3,True,True,True,True,31
gemini-flash-lite-latest,flat,1.0,10,10,2,0,True,True,True,True,43
gemini-flash-lite-latest,flat,1.0,10,10,2,1,True,True,True,True,40
gemini-flash-lite-latest,flat,1.0,10,10,2,2,True,True,True,True,39
gemini-flash-lite-latest,flat,1.0,10,10,2,3,True,True,True,True,26
gemini-flash-lite-latest,flat,1.0,10,10,3,0,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,10,10,3,1,True,True,True,True,44
gemini-flash-lite-latest,flat,1.0,10,10,3,2,True,True,True,True,38
